nationality,total
Bangladeshi,2922
Indian,1608
Singaporean,1286
Chinese,233
Myanmarian,136
Malaysian,95
Unidentified nationality,62
Filipino,45
Thai,39
Indonesian,33
British,30
Australian,15
French,14
American,12
German,7
Dutch,6
Sri lankan,5
Brazilian,4
New zealander,4
Japanese,4
Spanish,3
Swiss,3
Irish,3
Italian,2
Swedish,2
Vietnamese,2
Danish,1
Russian,1
Belgian,1
Venezuelan,1
South african,1
Canadian,1
Colombian,1
Cameroonian,1
Emirian,1
Omani,1
Taiwanese,1
Slovak,1
South korean,1
